ts_iso,batt_v,airspeed_ms,groundspeed_ms,roll_deg,pitch_deg,yaw_deg,lat,lon,alt_m
2025-10-17T15:27:11.817241+00:00,,,,,,,,,
2025-10-17T15:27:12.435413+00:00,,,,,,,,,
2025-10-17T15:27:13.037650+00:00,,,,,,,,,
2025-10-17T15:27:13.708407+00:00,,,,,,,,,
2025-10-17T15:27:14.920730+00:00,,,,,,,,,
2025-10-17T15:27:15.525893+00:00,,,,,,,,,
2025-10-17T15:27:16.128895+00:00,,,,,,,,,
2025-10-17T15:27:16.747504+00:00,11.112,11.160,,4.197,1.522,,,,
2025-10-17T15:27:17.350759+00:00,11.124,11.880,,7.548,2.868,,,,
2025-10-17T15:27:17.972034+00:00,11.137,11.926,,9.609,3.983,,,,
2025-10-17T15:27:18.592276+00:00,11.149,11.255,,9.882,4.715,,,,
2025-10-17T15:27:19.200354+00:00,11.160,10.140,,8.368,4.997,,,,
2025-10-17T15:27:19.819997+00:00,11.172,8.955,,5.293,4.812,,,,
2025-10-17T15:27:20.426896+00:00,11.183,8.169,,1.325,4.187,,,,
2025-10-17T15:27:21.029326+00:00,11.194,8.035,,-2.848,3.188,,,,
2025-10-17T15:27:21.634470+00:00,11.205,8.597,,-6.537,1.895,,,,
2025-10-17T15:27:22.244350+00:00,11.215,9.666,,-9.083,0.419,,,,
2025-10-17T15:27:22.848887+00:00,11.225,10.846,,-10.000,-1.084,,,,
2025-10-17T15:27:23.455812+00:00,11.234,11.729,,-9.145,-2.493,,,,
2025-10-17T15:27:24.059827+00:00,11.243,11.994,,-6.679,-3.669,,,,
2025-10-17T15:27:24.665678+00:00,11.251,11.551,,-3.025,-4.515,,,,
2025-10-17T15:27:25.269919+00:00,11.258,10.560,,1.154,-4.950,,,,
2025-10-17T15:27:25.876616+00:00,11.266,9.365,,5.144,-4.935,,,,
2025-10-17T15:27:26.482853+00:00,11.272,8.398,,8.219,-4.470,,,,
2025-10-17T15:27:27.091919+00:00,11.278,8.001,,9.839,-3.592,,,,
2025-10-17T15:27:27.698298+00:00,11.283,8.320,,9.702,-2.390,,,,
2025-10-17T15:27:28.301888+00:00,11.288,9.234,,7.856,-0.977,,,,
2025-10-17T15:27:28.904572+00:00,11.291,10.416,,4.633,0.522,,,,
2025-10-17T15:27:29.515573+00:00,11.295,11.463,,0.540,1.994,,,,
2025-10-17T15:27:30.125842+00:00,11.297,11.980,,-3.646,3.279,,,,
